"WKT","Name","Provinsi","Kota","Kecamatan"
"POINT (110.896667 0.015833)","YZ_ SEKADAU BERSATU (SKH07)","KALIMANTAN BARAT","SEKADAU","SEKADAU HILIR"
"POINT (110.613611 -1.825611)","YZ_ UTI USMAN (TTT19)","KALIMANTAN BARAT","TUMBANG TITI","TUMBANG TITI"
"POINT (109.079341 0.873914)","YZ_ BAGAK SAHWA01 (SKW05B)","KALIMANTAN BARAT","SINGKAWANG","SINGKAWANG TIMUR"
"POINT (109.37482 -0.055847)","YZ_ BANJAR SERASAN (PNK06B)","KALIMANTAN BARAT","PONTIANAK","PONTIANAK TIMUR"
"POINT (110.82118 -0.26154)","YZ_ NANGA TAMAN (SKH03)","KALIMANTAN BARAT","SEKADAU","NANGA TAMAN"
"POINT (110.428212 0.824194)","YZ_ SEKAYAM (SAG12)","KALIMANTAN BARAT","SANGGAU","SEKAYAM"
"POINT (111.464825 -0.031376)","YZ_ SIMPANG PINOH (SQG12)","KALIMANTAN BARAT","SINTANG","SUNGAI TEBELIAN"
"POINT (109.315919 -0.051308)","YZ_ PAK BENCENG (PNK05A)","KALIMANTAN BARAT","PONTIANAK","PONTIANAK KOTA"
"POINT (108.9695679 1.0754356)","YZ_ KUBU BARU (KUB04A)","KALIMANTAN BARAT","KUBURAYA","SUNGAI RAYA-KUB"
"POINT (111.06954 0.10825)","YZ_ SUNGAI AYAK (SKH04)","KALIMANTAN BARAT","SEKADAU","BELITANG HILIR"
"POINT (111.18535777 0.00175672)","YZ_ MANIS RAYA KOTA (SQG14)","KALIMANTAN BARAT","SINTANG","SEPAUK"
"POINT (111.745406 -0.341457)","YZ_ MELAWI PINOH (MLW01A)","KALIMANTAN BARAT","MELAWI","NANGA PINOH"
"POINT (111.654938 0.059862)","YZ_ KELAM PERMAI 01 (SQG07A)","KALIMANTAN BARAT","SINTANG","KELAM PERMAI"
"POINT (111.78761707 0.24308028)","YZ_ NANGA SILAT (PSU22)","KALIMANTAN BARAT","KAPUAS HULU","SILAT HILIR"
"POINT (112.300226 0.369590)","YZ_ TEPUAI (PSU04)","KALIMANTAN BARAT","KAPUAS HULU","HULU GURUNG"
"POINT (110.158943 -2.405318)","YZ_ SUNGAI GANTANG (TTT20A)","KALIMANTAN BARAT","TUMBANG TITI","KENDAWANGAN"
"POINT (110.464153 -1.779356)","YZ_ MELAYU RAYAK (TTT18)","KALIMANTAN BARAT","TUMBANG TITI","SUNGAI MELAYU RAYAK"
"POINT (109.962072 -1.833588)","YZ_ BENUA KAYONG07 (TTT03A)","KALIMANTAN BARAT","TUMBANG TITI","DELTA PAWAN"
"POINT (109.962878 -1.113806)","YZ_ SIMPANG HILIR (TLM03)","KALIMANTAN BARAT","KAYONG UTARA","SIMPANG HILIR"
"POINT (109.4000699 -0.0385257)","YZ_ PARIT MASIGI (KUB02B)","KALIMANTAN BARAT","KUBURAYA","SUNGAI AMBAWANG"
"POINT (110.53035 -1.238064)","YZ_ SANDAI (TTT01)","KALIMANTAN BARAT","TUMBANG TITI","SANDAI"
"POINT (110.846425 -1.947607)","YZ_ JELAI HULU","KALIMANTAN BARAT","TUMBANG TITI","JELAI HULU"
"POINT (109.965154 -1.240239)","YZ_ TELUK MELANO (TLM01)","KALIMANTAN BARAT","KAYONG UTARA","SUKADANA-TLM"
"POINT (109.161053 0.356671)","YZ_ ANJUNGAN KOTA (MMW11)","KALIMANTAN BARAT","MEMPAWAH","ANJONGAN"
"POINT (110.363911 -0.526663)","YZ_ BALAI BERKUAK (KTG05)","KALIMANTAN BARAT","TUMBANG TITI","SIMPANG HULU"
"POINT (109.699743 1.147257)","YZ_ SANGGAU LEDO KOTA (BEG04)","KALIMANTAN BARAT","BENGKAYANG","SANGGAU LEDO"
"POINT (109.477822 0.818696)","YZ_ BENGKAYANG KOTA (BEG03)","KALIMANTAN BARAT","BENGKAYANG","BENGKAYANG"
"POINT (110.564116 -1.516759)","YZ_ NANGA TAYAP (KTG04)","KALIMANTAN BARAT","TUMBANG TITI","NANGA TAYAP"
"POINT (111.029670 -2.453210)","YZ_ TTT06","KALIMANTAN BARAT","TUMBANG TITI","MANIS MATA"
"POINT (110.589391 -2.273055)","YZ_ SINGKUP CEMERLANG","KALIMANTAN BARAT","TUMBANG TITI","SINGKUP"
"POINT (110.8660949 -2.0514545)","YZ_ TTT05A","KALIMANTAN BARAT","TUMBANG TITI","JELAI HULU"
"POINT (109.3485 -0.077310)","YZ_ DP PARIS2 (PNK02A)","KALIMANTAN BARAT","PONTIANAK","PONTIANAK TENGGARA"
"POINT (112.6991245 0.4788904)","YZ_ VENDOR TEMUYUK","KALIMANTAN BARAT","KAPUAS HULU","BUNUT HULU"
"POINT (112.7072668 0.4879598)","YZ_ VENDOR SURUK","KALIMANTAN BARAT","KAPUAS HULU","BUNUT HULU"
"POINT (112.6413864 0.4632174)","YZ_ VENDOR SUNGAI BESAR","KALIMANTAN BARAT","KAPUAS HULU","BUNUT HULU"
"POINT (111.48058692 0.20339684)","YZ_ VENDOR BINJAI","KALIMANTAN BARAT","SINTANG","BINJAI HULU"
"POINT (111.8758771 1.0289554)","YZ_BADAU","KALIMANTAN BARAT","KAPUAS HULU","EMBALOH HILIR"
"POINT (109.3685255 -0.0647275)","YZ_JNT VENDOR BATANG LUPAR","KALIMANTAN BARAT","KAPUAS HULU","BATANG LUPAR"
"POINT (112.2825022 0.661467)","YZ_JONGKONG","KALIMANTAN BARAT","KAPUAS HULU","JONGKONG"
"POINT (109.3685161 -0.0647141)","YZ_BOYAN TANJUNG","KALIMANTAN BARAT","KAPUAS HULU","BOYAN TANJUNG"
"POINT (109.3685074 -0.0647318)","YZ_BUNUT HILIR","KALIMANTAN BARAT","KAPUAS HULU","BUNUT HILIR"
"POINT (109.3685308 -0.0647188)","YZ_KALIS","KALIMANTAN BARAT","KAPUAS HULU","KALIS"
"POINT (109.3685016 -0.0647313)","YZ_MENTEBAH","KALIMANTAN BARAT","KAPUAS HULU","MENTEBAH"
"POINT (109.3685082 -0.0647145)","YZ_ BUNUT HULU","KALIMANTAN BARAT","KAPUAS HULU","BUNUT HILIR"
